"1640781441.588062 2021-12-29 06:37:21.588062 b'{""type"":""eeg""",data:[-11.340211,27.091066,-14.829252,-27.544807,72.782295,-49.86022,-13.014761,77.580124,-75.03182,14.651753,141.78185,-212.95744,122.415886,65.662766,-88.72816,157.9968]}\r\n'
"1640781441.7110605 2021-12-29 06:37:21.711060 b'{""type"":""eeg""",data:[14.027344,2.166573,-37.679974,-6.200719,60.051647,9.9936285,-95.75196,-18.007437,75.37433,14.794989,-129.0249,-39.597878,78.48885,42.23544,-313.58246,-96.47028]}\r\n'
"1640781441.8200612 2021-12-29 06:37:21.820061 b'{""type"":""eeg""",data:[10.131917,27.942781,27.486801,-1.3507013,-44.074574,-84.06842,-82.15188,13.07764,66.21838,172.55576,135.81538,-19.126646,-235.40019,-180.36586,-31.325333,73.96487]}\r\n'
"1640781441.9090607 2021-12-29 06:37:21.909060 b'{""type"":""eeg""",data:[-12.196001,-25.68469,-8.840201,42.597675,76.7452,41.15939,-56.71674,-155.2166,-126.43078,30.052643,132.83617,90.92392,19.717215,-154.72113,-97.2852,-68.02778]}\r\n'
"1640781442.0060613 2021-12-29 06:37:22.006061 b'{""type"":""eeg""",data:[-10.488831,26.675186,-16.429512,-32.335632,87.17517,-55.14988,-13.435305,112.96211,-161.26358,34.629322,136.20993,-136.71414,74.236565,51.708866,-273.04678,73.020874]}\r\n'
"1640781442.1100621 2021-12-29 06:37:22.110062 b'{""type"":""eeg""",data:[-13.98716,-17.086164,23.032116,58.018444,12.83801,-84.17024,-90.83623,41.933403,117.8481,36.014687,-65.05117,-174.3835,2.1052082,180.6468,177.22589,-191.41634]}\r\n'
"1640781442.1890624 2021-12-29 06:37:22.189062 b'{""type"":""eeg""",data:[-11.387494,25.309877,-18.322643,-27.05214,54.54468,-46.73422,-11.204665,137.50952,-115.71407,20.478785,97.5829,-219.3277,44.09831,90.43987,-352.41336,101.785034]}\r\n'
"1640781442.2710605 2021-12-29 06:37:22.271060 b'{""type"":""eeg""",data:[5.2013483,-17.023642,37.731075,-45.15618,81.88089,-81.275894,79.41491,-42.302696,27.177254,22.518097,-90.23153,161.59381,-172.57877,122.380615,-82.92923,156.64787]}\r\n'
"1640781442.3550954 2021-12-29 06:37:22.355095 b'{""type"":""eeg""",data:[13.68144,2.0513039,-38.424934,-6.8179564,57.91934,8.171256,-112.4602,-22.595245,141.90784,27.803558,-174.43037,-43.995018,195.31888,21.042538,-163.79468,-60.066685]}\r\n'
"1640781442.4450648 2021-12-29 06:37:22.445064 b'{""type"":""eeg""",data:[1.6905587,8.537279,19.870335,29.322706,60.39947,54.328636,76.09545,91.81239,81.49373,96.14112,163.20296,150.47906,189.24403,140.60793,76.509636,81.98501]}\r\n'
"1640781442.5210657 2021-12-29 06:37:22.521065 b'{""type"":""eeg""",data:[-3.547392,14.478811,-32.93587,52.123005,-71.62271,92.97725,-59.33409,67.0001,-44.93821,22.593683,25.92733,-77.41943,113.896545,-232.1833,66.60574,-332.68915]}\r\n'
"1640781442.6180608 2021-12-29 06:37:22.618060 b'{""type"":""eeg""",data:[5.142054,-19.324368,34.813198,-62.8593,70.41634,-63.174988,90.48792,-69.1964,23.764833,16.656384,-50.10378,54.44535,-106.396126,67.543335,-203.7408,280.40057]}\r\n'
"1640781442.7050595 2021-12-29 06:37:22.705059 b'{""type"":""eeg""",data:[13.99659,2.3482232,-44.270226,-4.8840356,85.63548,9.697367,-73.22144,-18.951801,151.50293,37.22009,-87.08838,-16.395649,96.83852,62.052197,-138.9654,-27.908089]}\r\n'
"1640781442.78406 2021-12-29 06:37:22.784059 b'{""type"":""eeg""",data:[1.8014364,7.752731,21.941797,36.30305,52.395283,69.43009,94.06759,128.4205,152.75621,107.48409,84.34137,230.52814,231.7779,138.30077,129.78595,76.79913]}\r\n'
"1640781442.883061 2021-12-29 06:37:22.883061 b'{""type"":""eeg""",data:[-10.507822,27.971886,-18.706554,-23.235792,75.7576,-44.384228,-21.886547,110.948906,-147.90778,22.09221,104.638084,-254.06116,34.91549,85.08625,-206.7545,258.3193]}\r\n'
"1640781443.0010614 2021-12-29 06:37:23.001061 b'{""type"":""eeg""",data:[5.3131857,-19.441412,34.545544,-57.611954,70.65122,-82.97057,86.76069,-45.707756,22.296955,30.717667,-47.590137,93.13665,-62.833668,261.77716,-347.73615,226.21283]}\r\n'
